Using device: cpu
Epoch 1/20 | Train Loss: 1.2660 | Train Acc: 0.5116 | Val Loss: 0.9147 | Val Acc: 0.6507
Epoch 2/20 | Train Loss: 0.8198 | Train Acc: 0.6938 | Val Loss: 0.7158 | Val Acc: 0.7447
Epoch 3/20 | Train Loss: 0.6379 | Train Acc: 0.7674 | Val Loss: 0.5211 | Val Acc: 0.8014
Epoch 4/20 | Train Loss: 0.5194 | Train Acc: 0.8065 | Val Loss: 0.4728 | Val Acc: 0.8248
Epoch 5/20 | Train Loss: 0.4565 | Train Acc: 0.8339 | Val Loss: 0.4209 | Val Acc: 0.8458
Epoch 6/20 | Train Loss: 0.4142 | Train Acc: 0.8481 | Val Loss: 0.5814 | Val Acc: 0.7985
Epoch 7/20 | Train Loss: 0.3902 | Train Acc: 0.8549 | Val Loss: 0.4145 | Val Acc: 0.8470
Epoch 8/20 | Train Loss: 0.3657 | Train Acc: 0.8675 | Val Loss: 0.3522 | Val Acc: 0.8773
Epoch 9/20 | Train Loss: 0.3411 | Train Acc: 0.8756 | Val Loss: 0.3489 | Val Acc: 0.8651
Epoch 10/20 | Train Loss: 0.3316 | Train Acc: 0.8757 | Val Loss: 0.3087 | Val Acc: 0.8820
Epoch 11/20 | Train Loss: 0.3117 | Train Acc: 0.8864 | Val Loss: 0.3688 | Val Acc: 0.8592
Epoch 12/20 | Train Loss: 0.2885 | Train Acc: 0.8950 | Val Loss: 0.2994 | Val Acc: 0.8867
Epoch 13/20 | Train Loss: 0.2748 | Train Acc: 0.8979 | Val Loss: 0.2758 | Val Acc: 0.9001
Epoch 14/20 | Train Loss: 0.2532 | Train Acc: 0.9087 | Val Loss: 0.2897 | Val Acc: 0.9025
Epoch 15/20 | Train Loss: 0.2528 | Train Acc: 0.9078 | Val Loss: 0.2903 | Val Acc: 0.8978
Epoch 16/20 | Train Loss: 0.2313 | Train Acc: 0.9133 | Val Loss: 0.3084 | Val Acc: 0.8943
Epoch 17/20 | Train Loss: 0.2104 | Train Acc: 0.9236 | Val Loss: 0.2660 | Val Acc: 0.9095
Epoch 18/20 | Train Loss: 0.1975 | Train Acc: 0.9274 | Val Loss: 0.2838 | Val Acc: 0.9095
Epoch 19/20 | Train Loss: 0.1926 | Train Acc: 0.9297 | Val Loss: 0.2391 | Val Acc: 0.9235
Epoch 20/20 | Train Loss: 0.1654 | Train Acc: 0.9395 | Val Loss: 0.2304 | Val Acc: 0.9246
Final Test Results | Test Loss: 0.2717 | Test Acc: 0.9073
